5,10,15,20,25,30,35,40,45,50
0.39,0.39,0.393,0.39,0.393,0.39,0.393,8.87,12.866,1.38
0.39,0.39,0.393,0.39,0.393,0.39,0.393,1.38,1.378,1.44
0.39,0.39,0.393,0.39,0.393,0.39,0.393,1.33,1.33,1.4
0.39,0.39,0.393,0.39,0.393,0.39,0.393,1.4,1.402,1.34
0.39,0.39,0.393,0.39,0.393,0.39,0.393,1.49,1.486,1.31
0.39,0.71,0.709,0.71,0.709,0.71,0.71,1.35,1.35,2.77
0.71,0.31,0.305,0.31,0.305,0.31,0.305,27.41,27.412,1.41
0,0.31,0.305,0.31,0.305,0.31,0.305,1.13,1.134,1.38
0,0.31,0,0.31,0.305,0.31,0.305,1.21,1.214,1.33
0,0.31,0,0.31,0.305,0.31,0.305,1.21,1.214,1.4
0,0.31,0,0.31,0.305,0.31,0.305,1.22,1.222,1.49
0,0.71,0,0.71,0.709,0.71,0.71,1.27,1.274,2.55
0,0.31,0,0.31,0.305,0.31,0.305,27.49,27.488,1.25
0,0.31,0,0.31,0.305,0.31,0.305,1.36,1.358,1.17
0,0.29,0,0.29,0.285,0.29,0.285,1.42,1.418,1.21
0,0.25,0,0.25,0.253,0.25,0.253,1.48,1.478,1.23
0,0,0,0.25,0,0.25,0.253,1.32,1.322,1.24
0,0,0,0.66,0,0.66,0.658,1.41,1.406,2.7
0,0,0,0.25,0,0.25,0.253,2.66,2.66,0